stationName,Saint Paul,ticketPrice,nbTicketBought
Saint Paul,8,1.7,8
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,8,0.7,8
Saint Paul,11,1.7,11
Saint Paul,12,1.7,12
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,12,0.7,12
Saint Paul,13,1.7,13
Saint Paul,11,1.7,11
Saint Paul,4,1.7,4
Saint Paul,11,1.7,11
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,4,1.7,4
Saint Paul,14,1.7,14
Saint Paul,1,1.7,1
Saint Paul,5,0.7,5
Saint Paul,9,1.7,9
Saint Paul,1,1.7,1
Saint Paul,13,1.7,13
Saint Paul,8,0.7,8
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,12,0.7,12
Saint Paul,8,0.7,8
Saint Paul,1,1.7,1
Saint Paul,10,0.7,10
Saint Paul,5,1.7,5
Saint Paul,1,1.7,1
Saint Paul,9,1.7,9
Saint Paul,19,0.7,19
Saint Paul,7,1.7,7
Saint Paul,9,1.7,9
Saint Paul,9,1.7,9
Saint Paul,12,1.7,12
Saint Paul,12,1.7,12
Saint Paul,9,0.7,9
Saint Paul,9,0.7,9
Saint Paul,11,0.7,11
Saint Paul,4,1.7,4
Saint Paul,6,1.7,6
Saint Paul,14,1.7,14
Saint Paul,11,1.7,11
Saint Paul,10,0.7,10
Saint Paul,14,0.7,14
Saint Paul,12,1.7,12
Saint Paul,3,1.7,3
Saint Paul,8,1.7,8
Saint Paul,12,0.7,12
Saint Paul,11,1.7,11
Saint Paul,7,1.7,7
Saint Paul,5,1.7,5
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,12,1.7,12
Saint Paul,4,1.7,4
Saint Paul,8,1.7,8
Saint Paul,10,1.7,10
Saint Paul,4,0.7,4
Saint Paul,1,0.7,1
Saint Paul,13,1.7,13
Saint Paul,5,0.7,5
Saint Paul,7,0.7,7
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,9,1.7,9
Saint Paul,9,1.7,9
Saint Paul,2,1.7,2
Saint Paul,8,1.7,8
Saint Paul,6,0.7,6
Saint Paul,4,1.7,4
Saint Paul,6,0.7,6
Saint Paul,7,0.7,7
Saint Paul,7,1.7,7
Saint Paul,11,1.7,11
Saint Paul,5,1.7,5
Saint Paul,10,1.7,10
Saint Paul,13,1.7,13
Saint Paul,9,1.7,9
Saint Paul,12,1.7,12
Saint Paul,3,1.7,3
Saint Paul,11,1.7,11
Saint Paul,2,0.7,2
Saint Paul,14,1.7,14
Saint Paul,14,1.7,14
Saint Paul,12,1.7,12
Saint Paul,1,0.7,1
Saint Paul,12,1.7,12
Saint Paul,10,0.7,10
Saint Paul,7,1.7,7
Saint Paul,,1.7,7
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,12,1.7,12
Saint Paul,12,0.7,12
Saint Paul,10,1.7,10
Saint Paul,7,1.7,7
Saint Paul,3,1.7,3
Saint Paul,11,1.7,11
Saint Paul,7,1.7,7
Saint Paul,9,1.7,9
Saint Paul,8,1.7,8
Saint Paul,12,0.7,12
Saint Paul,14,1.7,14
Saint Paul,10,1.7,10
Saint Paul,9,0.7,9
Saint Paul,15,1.7,15
Saint Paul,19,1.7,19
Saint Paul,14,1.7,14
Saint Paul,9,1.7,9
Saint Paul,6,0.7,6
Saint Paul,10,0.7,10
Saint Paul,11,1.7,11
Saint Paul,17,1.7,17
Saint Paul,9,0.7,9
Saint Paul,12,0.7,12
Saint Paul,6,1.7,6
Saint Paul,15,1.7,15
Saint Paul,17,1.7,17
Saint Paul,5,1.7,5
Saint Paul,9,1.7,9
Saint Paul,8,1.7,8
Saint Paul,11,0.7,11
Saint Paul,6,1.7,6
Saint Paul,12,1.7,12
Saint Paul,4,1.7,4
Saint Paul,10,1.7,10
Saint Paul,4,1.7,4
Saint Paul,6,1.7,6
Saint Paul,2,1.7,2
Saint Paul,14,1.7,14
Saint Paul,,0.7,14
Saint Paul,9,1.7,9
Saint Paul,2,0.7,2
Saint Paul,13,1.7,13
Saint Paul,7,1.7,7
Saint Paul,14,0.7,14
Saint Paul,7,1.7,7
Saint Paul,13,1.7,13
Saint Paul,13,1.7,13
Saint Paul,10,1.7,10
Saint Paul,8,1.7,8
Saint Paul,9,0.7,9
Saint Paul,2,1.7,2
Saint Paul,2,1.7,2
Saint Paul,16,0.7,16
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,7,1.7,7
Saint Paul,17,1.7,17
Saint Paul,13,1.7,13
Saint Paul,11,1.7,11
Saint Paul,12,1.7,12
Saint Paul,12,1.7,12
Saint Paul,15,0.7,15
Saint Paul,12,0.7,12
Saint Paul,13,1.7,13
Saint Paul,18,0.7,18
Saint Paul,13,1.7,13
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,,1.7,10
Saint Paul,11,1.7,11
Saint Paul,10,1.7,10
Saint Paul,,1.7,10
Saint Paul,12,1.7,12
Saint Paul,10,0.7,10
Saint Paul,14,1.7,14
Saint Paul,13,1.7,13
Saint Paul,15,0.7,15
Saint Paul,7,0.7,7
Saint Paul,4,0.7,4
Saint Paul,11,1.7,11
Saint Paul,15,0.7,15
Saint Paul,12,1.7,12
Saint Paul,14,1.7,14
Saint Paul,12,1.7,12
Saint Paul,10,0.7,10
Saint Paul,9,1.7,9
Saint Paul,14,0.7,14
Saint Paul,3,1.7,3
Saint Paul,9,1.7,9
Saint Paul,10,0.7,10
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,5,1.7,5
Saint Paul,11,0.7,11
Saint Paul,17,1.7,17
Saint Paul,11,0.7,11
Saint Paul,8,1.7,8
Saint Paul,1,1.7,1
Saint Paul,11,1.7,11
Saint Paul,13,1.7,13
Saint Paul,12,1.7,12
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,8,1.7,8
Saint Paul,8,0.7,8
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,10,1.7,10
Saint Paul,,1.7,10
Saint Paul,4,1.7,4
Saint Paul,12,1.7,12
Saint Paul,6,0.7,6
Saint Paul,1,1.7,1
Saint Paul,6,1.7,6
Saint Paul,15,1.7,15
Saint Paul,10,1.7,10
Saint Paul,19,0.7,19
Saint Paul,2,1.7,2
Saint Paul,4,1.7,4
Saint Paul,14,1.7,14
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,11,1.7,11
Saint Paul,4,1.7,4
Saint Paul,14,0.7,14
Saint Paul,18,0.7,18
Saint Paul,13,0.7,13
Saint Paul,8,0.7,8
Saint Paul,12,1.7,12
Saint Paul,13,1.7,13
Saint Paul,11,1.7,11
Saint Paul,11,0.7,11
Saint Paul,6,1.7,6
Saint Paul,7,0.7,7
Saint Paul,12,1.7,12
Saint Paul,,1.7,12
Saint Paul,9,1.7,9
Saint Paul,6,1.7,6
Saint Paul,11,1.7,11
Saint Paul,14,0.7,14
Saint Paul,12,1.7,12
Saint Paul,2,1.7,2
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,7,1.7,7
Saint Paul,13,1.7,13
Saint Paul,10,1.7,10
Saint Paul,8,1.7,8
Saint Paul,11,1.7,11
Saint Paul,13,1.7,13
Saint Paul,6,1.7,6
Saint Paul,8,1.7,8
Saint Paul,,1.7,8
Saint Paul,6,1.7,6
Saint Paul,10,1.7,10
Saint Paul,8,1.7,8
Saint Paul,18,1.7,18
Saint Paul,10,1.7,10
Saint Paul,12,0.7,12
Saint Paul,14,1.7,14
Saint Paul,9,1.7,9
Saint Paul,11,0.7,11
Saint Paul,7,1.7,7
Saint Paul,6,1.7,6
Saint Paul,5,1.7,5
Saint Paul,15,1.7,15
Saint Paul,4,1.7,4
Saint Paul,8,0.7,8
Saint Paul,11,1.7,11
Saint Paul,6,1.7,6
Saint Paul,9,1.7,9
Saint Paul,9,0.7,9
Saint Paul,13,1.7,13
Saint Paul,14,1.7,14
Saint Paul,10,1.7,10
Saint Paul,14,0.7,14
Saint Paul,13,1.7,13
Saint Paul,14,1.7,14
Saint Paul,10,1.7,10
Saint Paul,4,1.7,4
Saint Paul,6,1.7,6
Saint Paul,11,0.7,11
Saint Paul,9,1.7,9
Saint Paul,9,0.7,9
Saint Paul,6,1.7,6
Saint Paul,8,1.7,8
Saint Paul,12,1.7,12
Saint Paul,16,1.7,16
Saint Paul,5,1.7,5
Saint Paul,12,0.7,12
Saint Paul,6,1.7,6
Saint Paul,7,0.7,7
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,13,1.7,13
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,15,1.7,15
Saint Paul,15,1.7,15
Saint Paul,6,1.7,6
Saint Paul,5,1.7,5
Saint Paul,8,1.7,8
Saint Paul,4,1.7,4
Saint Paul,9,1.7,9
Saint Paul,10,0.7,10
Saint Paul,2,1.7,2
Saint Paul,9,1.7,9
Saint Paul,9,1.7,9
Saint Paul,5,1.7,5
Saint Paul,6,1.7,6
Saint Paul,11,1.7,11
Saint Paul,6,1.7,6
Saint Paul,11,1.7,11
Saint Paul,2,0.7,2
Saint Paul,8,1.7,8
Saint Paul,10,1.7,10
Saint Paul,8,1.7,8
Saint Paul,9,1.7,9
Saint Paul,12,1.7,12
Saint Paul,3,1.7,3
Saint Paul,15,1.7,15
Saint Paul,4,1.7,4
Saint Paul,,1.7,4
Saint Paul,12,0.7,12
Saint Paul,9,1.7,9
Saint Paul,1,1.7,1
Saint Paul,8,1.7,8
Saint Paul,12,0.7,12
Saint Paul,17,1.7,17
Saint Paul,9,0.7,9
Saint Paul,15,1.7,15
Saint Paul,11,0.7,11
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,8,1.7,8
Saint Paul,,1.7,8
Saint Paul,14,1.7,14
Saint Paul,7,0.7,7
Saint Paul,11,1.7,11
Saint Paul,8,1.7,8
Saint Paul,12,1.7,12
Saint Paul,12,1.7,12
Saint Paul,14,0.7,14
Saint Paul,17,1.7,17
Saint Paul,9,1.7,9
Saint Paul,3,1.7,3
Saint Paul,6,1.7,6
Saint Paul,10,1.7,10
Saint Paul,4,1.7,4
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,9,1.7,9
Saint Paul,13,0.7,13
Saint Paul,6,1.7,6
Saint Paul,9,1.7,9
Saint Paul,8,1.7,8
Saint Paul,10,1.7,10
Saint Paul,10,0.7,10
Saint Paul,12,0.7,12
Saint Paul,9,1.7,9
Saint Paul,12,0.7,12
Saint Paul,9,0.7,9
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,14,1.7,14
Saint Paul,11,1.7,11
Saint Paul,14,1.7,14
Saint Paul,15,0.7,15
Saint Paul,8,1.7,8
Saint Paul,4,1.7,4
Saint Paul,11,1.7,11
Saint Paul,8,0.7,8
Saint Paul,12,1.7,12
Saint Paul,10,1.7,10
Saint Paul,11,1.7,11
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,6,1.7,6
Saint Paul,7,1.7,7
Saint Paul,9,0.7,9
Saint Paul,8,1.7,8
Saint Paul,14,0.7,14
Saint Paul,10,1.7,10
Saint Paul,12,1.7,12
Saint Paul,6,1.7,6
Saint Paul,10,1.7,10
Saint Paul,11,1.7,11
Saint Paul,11,1.7,11
Saint Paul,11,0.7,11
Saint Paul,14,1.7,14
Saint Paul,9,1.7,9
Saint Paul,9,0.7,9
Saint Paul,11,1.7,11
Saint Paul,10,0.7,10
Saint Paul,5,1.7,5
Saint Paul,9,1.7,9
Saint Paul,6,1.7,6
Saint Paul,9,1.7,9
Saint Paul,2,1.7,2
Saint Paul,3,1.7,3
Saint Paul,11,1.7,11
Saint Paul,3,1.7,3
Saint Paul,20,1.7,20
Saint Paul,5,0.7,5
Saint Paul,11,1.7,11
Saint Paul,13,1.7,13
Saint Paul,5,1.7,5
Saint Paul,14,1.7,14
Saint Paul,5,1.7,5
Saint Paul,8,0.7,8
Saint Paul,16,0.7,16
Saint Paul,5,1.7,5
Saint Paul,10,1.7,10
Saint Paul,9,0.7,9
Saint Paul,12,0.7,12
Saint Paul,11,0.7,11
Saint Paul,13,0.7,13
Saint Paul,4,1.7,4
Saint Paul,11,1.7,11
Saint Paul,10,0.7,10
Saint Paul,8,1.7,8
Saint Paul,3,1.7,3
Saint Paul,3,1.7,3
Saint Paul,9,1.7,9
Saint Paul,11,1.7,11
Saint Paul,12,1.7,12
Saint Paul,5,1.7,5
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,8,0.7,8
Saint Paul,9,1.7,9
Saint Paul,12,0.7,12
Saint Paul,,1.7,12
Saint Paul,11,1.7,11
Saint Paul,10,1.7,10
Saint Paul,9,1.7,9
Saint Paul,5,0.7,5
Saint Paul,10,1.7,10
Saint Paul,9,1.7,9
Saint Paul,11,1.7,11
Saint Paul,6,1.7,6
Saint Paul,10,0.7,10
Saint Paul,8,1.7,8
Saint Paul,9,1.7,9
Saint Paul,8,1.7,8
Saint Paul,14,0.7,14
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,4,1.7,4
Saint Paul,8,0.7,8
Saint Paul,9,1.7,9
Saint Paul,2,1.7,2
Saint Paul,8,1.7,8
Saint Paul,9,1.7,9
Saint Paul,9,1.7,9
Saint Paul,5,0.7,5
Saint Paul,9,1.7,9
Saint Paul,5,1.7,5
Saint Paul,5,1.7,5
Saint Paul,9,1.7,9
Saint Paul,13,1.7,13
Saint Paul,1,1.7,1
Saint Paul,5,0.7,5
Saint Paul,8,1.7,8
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,7,0.7,7
Saint Paul,12,1.7,12
Saint Paul,10,1.7,10
Saint Paul,6,1.7,6
Saint Paul,17,1.7,17
Saint Paul,6,0.7,6
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,11,1.7,11
Saint Paul,11,1.7,11
Saint Paul,14,0.7,14
Saint Paul,9,0.7,9
Saint Paul,6,1.7,6
Saint Paul,5,1.7,5
Saint Paul,7,1.7,7
Saint Paul,8,1.7,8
Saint Paul,5,1.7,5
Saint Paul,12,1.7,12
Saint Paul,8,0.7,8
Saint Paul,6,1.7,6
Saint Paul,15,1.7,15
Saint Paul,5,0.7,5
Saint Paul,13,1.7,13
Saint Paul,9,0.7,9
Saint Paul,8,1.7,8
Saint Paul,1,1.7,1
Saint Paul,8,0.7,8
Saint Paul,10,0.7,10
Saint Paul,12,0.7,12
Saint Paul,8,1.7,8
Saint Paul,15,1.7,15
Saint Paul,10,1.7,10
Saint Paul,8,1.7,8
Saint Paul,16,1.7,16
Saint Paul,11,0.7,11
Saint Paul,4,0.7,4
Saint Paul,18,1.7,18
Saint Paul,15,1.7,15
Saint Paul,10,1.7,10
Saint Paul,9,1.7,9
Saint Paul,7,1.7,7
Saint Paul,11,1.7,11
Saint Paul,6,1.7,6
Saint Paul,7,1.7,7
Saint Paul,13,0.7,13
Saint Paul,11,0.7,11
Saint Paul,12,1.7,12
Saint Paul,8,0.7,8
Saint Paul,8,1.7,8
Saint Paul,10,1.7,10
Saint Paul,11,0.7,11
Saint Paul,8,1.7,8
Saint Paul,15,1.7,15
Saint Paul,9,1.7,9
Saint Paul,10,1.7,10
Saint Paul,9,1.7,9
Saint Paul,1,0.7,1
Saint Paul,12,1.7,12
Saint Paul,8,1.7,8
Saint Paul,6,1.7,6
Saint Paul,9,1.7,9
Saint Paul,11,1.7,11
Saint Paul,12,1.7,12
Saint Paul,8,1.7,8
Saint Paul,10,1.7,10
Saint Paul,5,1.7,5
Saint Paul,10,1.7,10
Saint Paul,10,0.7,10
Saint Paul,11,1.7,11
Saint Paul,16,1.7,16
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,11,1.7,11
Saint Paul,8,1.7,8
Saint Paul,14,1.7,14
Saint Paul,12,1.7,12
Saint Paul,10,1.7,10
Saint Paul,13,1.7,13
Saint Paul,5,1.7,5
Saint Paul,10,1.7,10
Saint Paul,6,1.7,6
Saint Paul,7,0.7,7
Saint Paul,12,1.7,12
Saint Paul,11,0.7,11
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,14,1.7,14
Saint Paul,5,1.7,5
Saint Paul,12,1.7,12
Saint Paul,9,1.7,9
Saint Paul,13,1.7,13
Saint Paul,12,1.7,12
Saint Paul,9,0.7,9
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,10,1.7,10
Saint Paul,16,1.7,16
Saint Paul,10,1.7,10
Saint Paul,8,1.7,8
Saint Paul,6,1.7,6
Saint Paul,11,1.7,11
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,10,1.7,10
Saint Paul,13,0.7,13
Saint Paul,9,1.7,9
Saint Paul,12,1.7,12
Saint Paul,6,1.7,6
Saint Paul,6,1.7,6
Saint Paul,8,1.7,8
Saint Paul,11,0.7,11
Saint Paul,9,1.7,9
Saint Paul,13,0.7,13
Saint Paul,12,0.7,12
Saint Paul,6,1.7,6
Saint Paul,9,1.7,9
Saint Paul,6,1.7,6
Saint Paul,1,1.7,1
Saint Paul,10,1.7,10
Saint Paul,5,1.7,5
Saint Paul,6,1.7,6
Saint Paul,9,1.7,9
Saint Paul,11,1.7,11
Saint Paul,8,1.7,8
Saint Paul,11,1.7,11
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,12,1.7,12
Saint Paul,9,0.7,9
Saint Paul,10,1.7,10
Saint Paul,5,1.7,5
Saint Paul,4,0.7,4
Saint Paul,7,1.7,7
Saint Paul,13,1.7,13
Saint Paul,4,1.7,4
Saint Paul,9,1.7,9
Saint Paul,7,1.7,7
Saint Paul,1,1.7,1
Saint Paul,8,0.7,8
Saint Paul,12,0.7,12
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,17,0.7,17
Saint Paul,16,1.7,16
Saint Paul,9,0.7,9
Saint Paul,4,1.7,4
Saint Paul,,1.7,4
Saint Paul,7,1.7,7
Saint Paul,7,0.7,7
Saint Paul,12,1.7,12
Saint Paul,11,0.7,11
Saint Paul,8,1.7,8
Saint Paul,1,1.7,1
Saint Paul,13,0.7,13
Saint Paul,8,1.7,8
Saint Paul,11,1.7,11
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,13,1.7,13
Saint Paul,10,0.7,10
Saint Paul,5,1.7,5
Saint Paul,6,0.7,6
Saint Paul,20,1.7,20
Saint Paul,15,1.7,15
Saint Paul,13,0.7,13
Saint Paul,8,1.7,8
Saint Paul,4,1.7,4
Saint Paul,,1.7,4
Saint Paul,10,1.7,10
Saint Paul,15,1.7,15
Saint Paul,11,0.7,11
Saint Paul,8,1.7,8
Saint Paul,11,1.7,11
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,15,1.7,15
Saint Paul,12,0.7,12
Saint Paul,12,1.7,12
Saint Paul,11,1.7,11
Saint Paul,19,0.7,19
Saint Paul,14,0.7,14
Saint Paul,14,1.7,14
Saint Paul,1,1.7,1
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,9,1.7,9
Saint Paul,8,0.7,8
Saint Paul,9,0.7,9
Saint Paul,9,0.7,9
Saint Paul,8,0.7,8
Saint Paul,9,1.7,9
Saint Paul,10,1.7,10
Saint Paul,11,1.7,11
Saint Paul,7,1.7,7
Saint Paul,12,1.7,12
Saint Paul,7,0.7,7
Saint Paul,15,0.7,15
Saint Paul,7,1.7,7
Saint Paul,13,0.7,13
Saint Paul,4,1.7,4
Saint Paul,11,1.7,11
Saint Paul,4,1.7,4
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,10,1.7,10
Saint Paul,8,1.7,8
Saint Paul,9,1.7,9
Saint Paul,10,1.7,10
Saint Paul,10,0.7,10
Saint Paul,10,1.7,10
Saint Paul,9,1.7,9
Saint Paul,6,1.7,6
Saint Paul,10,0.7,10
Saint Paul,8,1.7,8
Saint Paul,1,1.7,1
Saint Paul,8,1.7,8
Saint Paul,3,1.7,3
Saint Paul,17,1.7,17
Saint Paul,6,1.7,6
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,9,0.7,9
Saint Paul,13,1.7,13
Saint Paul,11,0.7,11
Saint Paul,12,1.7,12
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,11,1.7,11
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,14,1.7,14
Saint Paul,7,1.7,7
Saint Paul,15,1.7,15
Saint Paul,6,1.7,6
Saint Paul,12,1.7,12
Saint Paul,10,1.7,10
Saint Paul,12,1.7,12
Saint Paul,11,1.7,11
Saint Paul,14,1.7,14
Saint Paul,11,1.7,11
Saint Paul,12,1.7,12
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,9,1.7,9
Saint Paul,15,1.7,15
Saint Paul,12,1.7,12
Saint Paul,6,1.7,6
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,14,1.7,14
Saint Paul,5,0.7,5
Saint Paul,12,1.7,12
Saint Paul,8,1.7,8
Saint Paul,16,1.7,16
Saint Paul,10,1.7,10
Saint Paul,11,1.7,11
Saint Paul,7,1.7,7
Saint Paul,6,1.7,6
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,10,1.7,10
Saint Paul,11,0.7,11
Saint Paul,10,1.7,10
Saint Paul,3,1.7,3
Saint Paul,15,1.7,15
Saint Paul,12,1.7,12
Saint Paul,9,1.7,9
Saint Paul,8,1.7,8
Saint Paul,15,1.7,15
Saint Paul,11,1.7,11
Saint Paul,15,1.7,15
Saint Paul,12,1.7,12
Saint Paul,7,1.7,7
Saint Paul,8,1.7,8
Saint Paul,12,1.7,12
Saint Paul,9,0.7,9
Saint Paul,10,1.7,10
Saint Paul,8,1.7,8
Saint Paul,8,1.7,8
Saint Paul,8,0.7,8
Saint Paul,10,1.7,10
Saint Paul,9,1.7,9
Saint Paul,12,1.7,12
Saint Paul,14,1.7,14
Saint Paul,9,1.7,9
Saint Paul,16,1.7,16
Saint Paul,8,1.7,8
Saint Paul,12,1.7,12
Saint Paul,10,1.7,10
Saint Paul,13,1.7,13
Saint Paul,11,1.7,11
Saint Paul,9,1.7,9
Saint Paul,5,1.7,5
Saint Paul,9,1.7,9
Saint Paul,5,1.7,5
Saint Paul,14,1.7,14
Saint Paul,11,1.7,11
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,8,1.7,8
Saint Paul,12,1.7,12
Saint Paul,13,1.7,13
Saint Paul,12,1.7,12
Saint Paul,11,1.7,11
Saint Paul,6,1.7,6
Saint Paul,9,1.7,9
Saint Paul,4,0.7,4
Saint Paul,8,0.7,8
Saint Paul,7,1.7,7
Saint Paul,6,0.7,6
Saint Paul,7,1.7,7
Saint Paul,6,0.7,6
Saint Paul,8,1.7,8
Saint Paul,11,1.7,11
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,7,1.7,7
Saint Paul,15,1.7,15
Saint Paul,13,0.7,13
Saint Paul,10,1.7,10
Saint Paul,13,1.7,13
Saint Paul,11,0.7,11
Saint Paul,1,1.7,1
Saint Paul,16,1.7,16
Saint Paul,11,0.7,11
Saint Paul,9,1.7,9
Saint Paul,9,1.7,9
Saint Paul,9,0.7,9
Saint Paul,9,1.7,9
Saint Paul,11,1.7,11
Saint Paul,8,1.7,8
Saint Paul,,1.7,8
Saint Paul,10,1.7,10
Saint Paul,10,0.7,10
Saint Paul,9,1.7,9
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,13,1.7,13
Saint Paul,5,1.7,5
Saint Paul,11,1.7,11
Saint Paul,7,1.7,7
Saint Paul,9,1.7,9
Saint Paul,13,1.7,13
Saint Paul,13,1.7,13
Saint Paul,6,1.7,6
Saint Paul,12,0.7,12
Saint Paul,7,1.7,7
Saint Paul,16,1.7,16
Saint Paul,4,1.7,4
Saint Paul,2,0.7,2
Saint Paul,13,1.7,13
Saint Paul,6,1.7,6
Saint Paul,1,1.7,1
Saint Paul,8,1.7,8
Saint Paul,15,1.7,15
Saint Paul,12,1.7,12
Saint Paul,1,1.7,1
Saint Paul,6,1.7,6
Saint Paul,11,1.7,11
Saint Paul,12,1.7,12
Saint Paul,9,1.7,9
Saint Paul,9,1.7,9
Saint Paul,12,1.7,12
Saint Paul,15,0.7,15
Saint Paul,2,0.7,2
Saint Paul,12,1.7,12
Saint Paul,5,1.7,5
Saint Paul,8,1.7,8
Saint Paul,4,1.7,4
Saint Paul,13,1.7,13
Saint Paul,13,1.7,13
Saint Paul,5,0.7,5
Saint Paul,12,1.7,12
Saint Paul,5,1.7,5
Saint Paul,5,1.7,5
Saint Paul,15,1.7,15
Saint Paul,9,1.7,9
Saint Paul,15,1.7,15
Saint Paul,10,1.7,10
Saint Paul,15,1.7,15
Saint Paul,8,1.7,8
Saint Paul,,0.7,8
Saint Paul,9,0.7,9
Saint Paul,8,1.7,8
Saint Paul,12,1.7,12
Saint Paul,4,1.7,4
Saint Paul,4,0.7,4
Saint Paul,10,1.7,10
Saint Paul,7,1.7,7
Saint Paul,12,1.7,12
Saint Paul,6,0.7,6
Saint Paul,10,1.7,10
Saint Paul,9,1.7,9
Saint Paul,14,1.7,14
Saint Paul,8,1.7,8
Saint Paul,13,1.7,13
Saint Paul,10,1.7,10
Saint Paul,12,0.7,12
Saint Paul,11,1.7,11
Saint Paul,11,1.7,11
Saint Paul,10,1.7,10
Saint Paul,9,1.7,9
Saint Paul,15,1.7,15
Saint Paul,5,1.7,5
Saint Paul,5,1.7,5
Saint Paul,11,1.7,11
Saint Paul,13,1.7,13
Saint Paul,6,0.7,6
Saint Paul,5,1.7,5
Saint Paul,9,1.7,9
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,13,1.7,13
Saint Paul,12,0.7,12
Saint Paul,13,1.7,13
Saint Paul,7,0.7,7
Saint Paul,5,0.7,5
Saint Paul,2,0.7,2
Saint Paul,1,1.7,1
Saint Paul,9,0.7,9
Saint Paul,9,1.7,9
Saint Paul,17,1.7,17
Saint Paul,7,1.7,7
Saint Paul,10,1.7,10
Saint Paul,4,0.7,4
Saint Paul,9,1.7,9
Saint Paul,10,1.7,10
Saint Paul,10,1.7,10
Saint Paul,11,0.7,11
Saint Paul,4,1.7,4
Saint Paul,4,1.7,4
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,1,0.7,1
Saint Paul,13,1.7,13
Saint Paul,10,1.7,10
Saint Paul,2,1.7,2
Saint Paul,8,1.7,8
Saint Paul,6,1.7,6
Saint Paul,12,1.7,12
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,8,1.7,8
Saint Paul,7,1.7,7
Saint Paul,11,1.7,11
Saint Paul,7,0.7,7
Saint Paul,13,1.7,13
Saint Paul,11,1.7,11
Saint Paul,8,1.7,8
Saint Paul,12,1.7,12
Saint Paul,10,1.7,10
Saint Paul,1,1.7,1
Saint Paul,12,0.7,12
Saint Paul,10,0.7,10
Saint Paul,3,0.7,3
Saint Paul,8,1.7,8
Saint Paul,10,1.7,10
Saint Paul,7,1.7,7
Saint Paul,7,1.7,7
Saint Paul,5,1.7,5
Saint Paul,5,1.7,5
Saint Paul,17,0.7,17
Saint Paul,8,1.7,8
